IdPoi,nombre,localizacion,fbd,IdPueblo,IdUsuario,etiquetas
106,Fuente el depósito,0xE6100000010C78962023A05219C0F52F49658AED4440,2012-02-16 18:47:29.137,35,1,fuentes
107,El cabezón del moro,0xE6100000010C3A3DEFC6825219C082751C3F54EE4440,2012-02-16 18:48:33.410,35,1,"peña,paisaje,curiosidad"
108,Balseta del Billar,0xE6100000010C8046E9D2BF9418C04A0856D5CBD54440,2012-02-16 18:58:06.360,42,4609,NULL
109,Cruz del Carvayo,0xE6100000010C9ED2C1FA3FA718C087191A4F04D74440,2012-02-16 18:59:51.083,42,4609,NULL
110,Puente de las Llameras,0xE6100000010CA33CF372D89D18C048DE3994A1D84440,2012-02-16 19:02:33.353,42,4609,NULL
111,Merenderos,0xE6100000010C997E8978EB5C19C0ED629AE95EED4440,2012-02-16 19:09:58.450,35,1,"merenderos,asador"
112,Chariz de la Ribera,0xE6100000010C3CBD5296219E18C03DF20703CFD74440,2012-02-16 19:12:03.297,42,4609,NULL
113,Castro gallinera,0xE6100000010CF8C1F9D4B11A19C03691990B5CE04440,2012-02-16 21:25:40.887,37,6527,castro celta
114,Castro San Juan,0xE6100000010CE88711C2A32D19C0E5F21FD26FDF4440,2012-02-16 21:26:29.230,37,107,castro
115,Castico,0xE6100000010C93196F2BBD1619C0D905836BEEDE4440,2012-02-16 21:27:12.707,37,6527,castro celta
116,Centro de Interpretacion de las especies micológicas,0xE6100000010C6B494739981D19C0618BDD3EABDE4440,2012-02-16 21:27:59.440,37,6527,NULL
117,Merenderos de la Cuesta,0xE6100000010C6E861BF0F9A118C087A757CA32D64440,2012-02-16 21:42:34.083,42,4609,NULL
118,Chariz del Maderal,0xE6100000010C81785DBF60B718C06D533C2EAAD94440,2012-02-16 21:45:02.370,42,4609,NULL
119,Chariz de Rotalobo,0xE6100000010C82ACA7565FCD18C0A2B5A2CD71D84440,2012-02-16 21:49:40.663,42,4609,NULL
120,Chariz del Fervelli,0xE6100000010CAD1402B9C47118C0E9482EFF21D34440,2012-02-16 21:51:58.203,42,4609,NULL
121,Pozo la Caldera,0xE6100000010C7E1D3867447918C0003CA24275D34440,2012-02-16 21:56:19.603,42,4609,NULL
122,Chariz de la Redondecha,0xE6100000010CBBD23252EF9918C0797764AC36D54440,2012-02-16 21:58:52.743,42,4609,NULL
123,Las Bergadinas,0xE6100000010C6F62484E26AE18C03EB324404DD54440,2012-02-16 22:02:44.707,42,4609,NULL
124,Corral de las Vacas,0xE6100000010CADDD76A1B9AE18C0CC7F48BF7DD54440,2012-02-16 22:05:23.680,42,107,corral
125,Merenderos del Palomar,0xE6100000010C8A05BEA25BAF18C01AA20A7F86D54440,2012-02-16 22:08:35.317,42,4609,NULL
126,Muro de Coreije,0xE6100000010C06BAF605F4D218C0FD135CACA8D74440,2012-02-16 22:13:04.330,42,4609,NULL
127,Valdelbino,0xE6100000010C3A048E041ABC18C0784485EAE6D64440,2012-02-17 07:43:31.600,42,20212,donde se lavaba antiguamente
128,Molino la fragua,0xE6100000010CEFAEB321FF5C19C0410E4A9869ED4440,2012-02-17 08:31:35.753,35,1,molinos
129,Molino de Royales,0xE6100000010CC32B499EEB5B19C0BABDA4315AED4440,2012-02-17 08:33:06.060,35,1,molinos
130,El Chariz de la Era,0xE6100000010C7AC7293A92CB18C0251FBB0B94DC4440,2012-02-17 09:20:32.650,27,7830,NULL
